IN	SO	Motion of Somolia to India												
lat	lon	rot	rot_rate	start_age	stop_age	s1start_age	s1stop_age	vxx	vyy	vzz	vxy	vxz	vyz	source
-23.34	-147.34	0.315		0	0.781	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.29	-147.44	0.719		0	1.778	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.23	-147.53	1.044		0	2.581	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.13	-147.68	1.467		0	3.596	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.12	-147.83	1.701		0	4.187	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.13	-148.1	2.117		0	5.235	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.17	-148.31	2.43		0	6.033	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.21	-148.46	2.705		0	6.733	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.29	-148.62	3.018		0	7.528	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.36	-148.72	3.246		0	8.108	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.51	-148.87	3.635		0	9.105	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.63	-148.95	3.9		0	9.786	0	0	0	0	0	0	0	0	Demets et al. 2020
-23.85	-149.08	4.397		0	11.056	0	0	0	0	0	0	0	0	Demets et al. 2020
-24.1	-149.2	4.957		0	12.474	0	0	0	0	0	0	0	0	Demets et al. 2020
-24.32	-149.29	5.487		0	13.739	0	0	0	0	0	0	0	0	Demets et al. 2020
-24.48	-149.35	5.841		0	14.609	0	0	0	0	0	0	0	0	Demets et al. 2020
-24.71	-149.43	6.467		0	15.974	0	0	0	0	0	0	0	0	Demets et al. 2020
-24.92	-149.5	7.123		0	17.235	0	0	0	0	0	0	0	0	Demets et al. 2020
-25.06	-149.54	7.536		0	18.056	0	0	0	0	0	0	0	0	Demets et al. 2020
-25.18	-149.54	7.874		0	18.748	0	0	0	0	0	0	0	0	Demets et al. 2020
-25.35	-149.65	8.355		0	19.722	0	0	0	0	0	0	0	0	Demets et al. 2020
-14.8	-134	15.4		0	25.987	0	0	0	0	0	0	0	0	Copley et al. 2010
-18.7	-133.9	17.77		0	33.705	0	0	0	0	0	0	0	0	Copley et al. 2010
-16.6	-131.2	22.31		0	40.145	0	0	0	0	0	0	0	0	Copley et al. 2010
-16.2	-131.53	25.24		0	42.301	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-17.84	-135.58	25.77		0	47.349	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-18.11	-137.7	27.21		0	49.344	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-18.48	-142.14	29.95		0	52.62	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-18.28	-143.16	31.72		0	53.983	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-18.53	-146.34	34.43		0	57.101	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-19.12	-148.38	35.9		0	58.959	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-20.15	-151.51	38.05		0	62.221	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-21.01	-152.9	38.81		0	63.494	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-21.6	-154.18	39.8		0	64.667	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-22.37	-155.23	41.38		0	65.688	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-22.61	-155.96	45.16		0	69.269	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-22.49	-155.78	47.52		0	71.449	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-22.05	-154.99	50.05		0	74.309	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-22.33	-155.03	52.64		0	79.9	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
-22.43	-155.04	53.63		0	83.64	0	0	0	0	0	0	0	0	Eagles & Hoang 2013
